gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
1356,5,19590601,20130922,Dow Jones Industrials-30 Stk,I0005,ALCOA INC,AA.3
1690,5,20150319,,Dow Jones Industrials-30 Stk,I0005,APPLE INC,AAPL
1487,5,20040408,20080921,Dow Jones Industrials-30 Stk,I0005,AMERICAN INTERNATIONAL GROUP,AIG
1447,5,19820830,,Dow Jones Industrials-30 Stk,I0005,AMERICAN EXPRESS CO,AXP
2285,5,19870312,,Dow Jones Industrials-30 Stk,I0005,BOEING CO,BA
7647,5,20080219,20130922,Dow Jones Industrials-30 Stk,I0005,BANK OF AMERICA CORP,BAC
3243,5,19970317,20090607,Dow Jones Industrials-30 Stk,I0005,CITIGROUP INC,C
2817,5,19910506,,Dow Jones Industrials-30 Stk,I0005,CATERPILLAR INC,CAT
20779,5,20090608,,Dow Jones Industrials-30 Stk,I0005,CISCO SYSTEMS INC,CSCO
2991,5,20080219,,Dow Jones Industrials-30 Stk,I0005,CHEVRON CORP,CVX
4087,5,19351120,20170831,Dow Jones Industrials-30 Stk,I0005,DU PONT (E I) DE NEMOURS,DD
3980,5,19910506,,Dow Jones Industrials-30 Stk,I0005,DISNEY (WALT) CO,DIS
10857,5,19281001,19991031,Dow Jones Industrials-30 Stk,I0005,UNION CARBIDE CORP,DOW2
4060,5,20170901,,Dow Jones Industrials-30 Stk,I0005,DOWDUPONT INC,DWDP
5047,5,19071107,20180625,Dow Jones Industrials-30 Stk,I0005,GENERAL ELECTRIC CO,GE
5073,5,19150316,20090607,Dow Jones Industrials-30 Stk,I0005,GENERAL MOTORS CO,GM
114628,5,20130923,,Dow Jones Industrials-30 Stk,I0005,GOLDMAN SACHS GROUP INC,GS
5234,5,19300718,19991031,Dow Jones Industrials-30 Stk,I0005,GOODYEAR TIRE & RUBBER CO,GT
5680,5,19991101,,Dow Jones Industrials-30 Stk,I0005,HOME DEPOT INC,HD
1300,5,19251207,20080218,Dow Jones Industrials-30 Stk,I0005,HONEYWELL INTERNATIONAL INC,HON
5606,5,19970317,20130922,Dow Jones Industrials-30 Stk,I0005,HP INC,HPQ
6066,5,19320526,,Dow Jones Industrials-30 Stk,I0005,INTL BUSINESS MACHINES CORP,IBM
6008,5,19991101,,Dow Jones Industrials-30 Stk,I0005,INTEL CORP,INTC
6104,5,19560703,20040407,Dow Jones Industrials-30 Stk,I0005,INTL PAPER CO,IP
6266,5,19970317,,Dow Jones Industrials-30 Stk,I0005,JOHNSON & JOHNSON,JNJ
2968,5,20010102,,Dow Jones Industrials-30 Stk,I0005,JPMORGAN CHASE & CO,JPM
7562,5,19910506,20010101,Dow Jones Industrials-30 Stk,I0005,MORGAN (J P) & CO,JPM.Z
3144,5,19320526,,Dow Jones Industrials-30 Stk,I0005,COCA-COLA CO,KO
4194,5,19300718,20040407,Dow Jones Industrials-30 Stk,I0005,EASTMAN KODAK CO,KODK
7154,5,19851030,,Dow Jones Industrials-30 Stk,I0005,MCDONALD'S CORP,MCD
142953,5,20080922,20120923,Dow Jones Industrials-30 Stk,I0005,MONDELEZ INTERNATIONAL INC,MDLZ
7435,5,19760809,,Dow Jones Industrials-30 Stk,I0005,3M CO,MMM
8543,5,19851030,20080218,Dow Jones Industrials-30 Stk,I0005,ALTRIA GROUP INC,MO
7257,5,19790629,,Dow Jones Industrials-30 Stk,I0005,MERCK & CO,MRK
12141,5,19991101,,Dow Jones Industrials-30 Stk,I0005,MICROSOFT CORP,MSFT
7906,5,20130923,,Dow Jones Industrials-30 Stk,I0005,NIKE INC,NKE
8530,5,20040408,,Dow Jones Industrials-30 Stk,I0005,PFIZER INC,PFE
8762,5,19320526,,Dow Jones Industrials-30 Stk,I0005,PROCTER & GAMBLE CO,PG
9563,5,19240122,19991031,Dow Jones Industrials-30 Stk,I0005,SEARS ROEBUCK & CO,S.1
9899,5,19991101,20150318,Dow Jones Industrials-30 Stk,I0005,AT&T INC,T
1581,5,19390314,20040407,Dow Jones Industrials-30 Stk,I0005,AT&T CORP,T.2
62689,5,20090608,,Dow Jones Industrials-30 Stk,I0005,TRAVELERS COS INC,TRV
10903,5,20120924,,Dow Jones Industrials-30 Stk,I0005,UNITEDHEALTH GROUP INC,UNH
10983,5,19750501,,Dow Jones Industrials-30 Stk,I0005,UNITED TECHNOLOGIES CORP,UTX
179534,5,20130923,,Dow Jones Industrials-30 Stk,I0005,VISA INC,V
2136,5,20040408,,Dow Jones Industrials-30 Stk,I0005,VERIZON COMMUNICATIONS INC,VZ
11264,5,20180626,,Dow Jones Industrials-30 Stk,I0005,WALGREENS BOOTS ALLIANCE INC,WBA
11259,5,19970317,,Dow Jones Industrials-30 Stk,I0005,WALMART INC,WMT
4503,5,19281001,,Dow Jones Industrials-30 Stk,I0005,EXXON MOBIL CORP,XOM